customer,title,length_seconds,cart_number,filename,category
zbT First Test Customer,zbT C1 Fake 30 sec ad,30,2,000002_000.wav,Agriculture
zbT Second Test Customer,zbT C2 Fake 60 sec ad,60,3,000003_000.wav,Apparel
zbT Third Test Customer,zbT C3 Retail Test 30 sec ad,30,4,000004_000.wav,Uncategorized
zbT Thunderbay Motors,zbT Thunderbay Motors 30,30,5,,
zbT WaveRider Auto Group,zbT WaveRider Auto Group 60,60,6,,
zbT Spiny Lobster Café,zbT Spiny Lobster Café 30,30,7,,
zbT Mango Moon Grill,zbT Mango Moon Grill 60,60,8,,
zbT Seashell Emporium,zbT Seashell Emporium 30,30,9,,
zbT Tradewind Outfitters,zbT Tradewind Outfitters 60,60,10,,
zbT Coral Cay Realty,zbT Coral Cay Realty 30,30,11,,
zbT Horizon Point Properties,zbT Horizon Point Properties 60,60,12,,
zbT Sovereign Isle Bank,zbT Sovereign Isle Bank 30,30,13,,
zbT Brightsmile Dental,zbT Brightsmile Dental 60,60,14,,
zbT Anchor Law Group,zbT Anchor Law Group 30,30,15,,
zbT Azure Cove Resort,zbT Azure Cove Resort 60,60,16,,
zbT TropicLink Communications,zbT TropicLink Communications 30,30,17,,
zbT Island Basket Market,zbT Island Basket Market 60,60,18,,
zbT Shield & Sail Insurance,zbT Shield & Sail Insurance 30,30,19,,Insurance
zbT Zephyr Life,zbT Zephyr Life 30,30,20,,Insurance
zbT Horizon Point Properties,zbT Horizon Point Prop 60,60,12,,
