company_name,address_line1,address_line2,locality,administrative_area,postal_code,country_code,telephone,email,category
zbT First Test Customer,,,,,,,242-555-8699,ron@zbT.com,
zbT Second Test Customer,,,,,,,242-555-0000,second@2zbT.com,
zbT Third Test Customer,,,,,,,242-555-0001,third@3zbT.com,
zbT Thunderbay Motors,,,,,,BS,,,Automotive
zbT WaveRider Auto Group,,,,,,BS,,,Automotive
zbT Spiny Lobster Café,,,,,,BS,,,Restaurant
zbT Mango Moon Grill,,,,,,BS,,,Restaurant
zbT Seashell Emporium,,,,,,BS,,,Retail
zbT Tradewind Outfitters,,,,,,BS,,,Retail
zbT Coral Cay Realty,,,,,,BS,,,Real Estate
zbT Horizon Point Properties,,,,,,BS,,,Real Estate
zbT Sovereign Isle Bank,,,,,,BS,,,Bank/Finance
zbT Brightsmile Dental,,,,,,BS,,,Medical/Dental
zbT Anchor Law Group,,,,,,BS,,,Legal
zbT Azure Cove Resort,,,,,,BS,,,Tourism/Hotel
zbT TropicLink Communications,,,,,,BS,,,Telecommunications
zbT Island Basket Market,,,,,,BS,,,Grocery
zbT Shield & Sail Insurance,,,,,,BS,,,Insurance
zbT Zephyr Life,,,,,,BS,,,Insurance
zbT Company Name,address1,address2,locality,administrative_area,postal_code,US,telephone,email@email.bs,Grocery
