category1,category2,minimum_minutes,notes
Agriculture,Agriculture,50,Agriculture
Airlines,Airlines,50,Airlines
Apparel,Apparel,50,Apparel
Arts & Entertainment,Arts & Entertainment,50,Arts & Entertainment
Automotive,Automotive,50,Automotive
Bank/Finance,Bank/Finance,50,Bank/Finance
Boating,Boating,50,Boating
Books,Books,50,Books
Construction,Construction,50,Construction
Education,Education,50,Education
Electronics,Electronics,50,Electronics
Employment,Employment,50,Employment
Financial Planning,Financial Planning,50,Financial Planning
Furniture,Furniture,50,Furniture
Government,Government,50,Government
Grocery,Grocery,50,Grocery
Hardware,Hardware,50,Hardware
Health & Fitness,Health & Fitness,50,Health & Fitness
Home Improvement,Home Improvement,50,Home Improvement
Industrial,Industrial,50,Industrial
Insurance,Insurance,50,Insurance
Internet Services,Internet Services,50,Internet Services
Jewelry,Jewelry,50,Jewelry
Legal,Legal,50,Legal
Marine,Marine,50,Marine
Medical/Dental,Medical/Dental,50,Medical/Dental
Music,Music,50,Music
PSA,PSA,50,PSA
Pharmacy,Pharmacy,50,Pharmacy
Political,Political,50,Political
Printing,Printing,50,Printing
Publishing,Publishing,50,Publishing
Real Estate,Real Estate,50,Real Estate
Restaurant,Restaurant,50,Restaurant
Retail,Retail,50,Retail
Security,Security,50,Security
Sporting Goods,Sporting Goods,50,Sporting Goods
Technology,Technology,50,Technology
Telecommunications,Telecommunications,50,Telecommunications
Tourism/Hotel,Tourism/Hotel,50,Tourism/Hotel
Transportation,Transportation,50,Transportation
Utilities,Utilities,50,Utilities
Veterinary,Veterinary,50,Veterinary
Wholesale,Wholesale,50,Wholesale
