contract,item_key,contract_item_id
TBM-2026-001,TBM-2026-001-01,5
WRA-2026-001,WRA-2026-001-01,6
SLC-2026-001,SLC-2026-001-01,7
MMG-2026-001,MMG-2026-001-01,8
SEE-2026-001,SEE-2026-001-01,9
TWO-2026-001,TWO-2026-001-01,10
CCR-2026-001,CCR-2026-001-01,11
HPP-2026-001,HPP-2026-001-01,12
SIB-2026-001,SIB-2026-001-01,13
BSD-2026-001,BSD-2026-001-01,14
ALG-2026-001,ALG-2026-001-01,15
ACR-2026-001,ACR-2026-001-01,16
TLC-2026-001,TLC-2026-001-01,17
IBM-2026-001,IBM-2026-001-01,18
SSI-2026-001,SSI-2026-001-01,19
ZZL-2026-001,ZZL-2026-001-01,20
HPP-2026-002,HPP-2026-002-01,21
HPP-2026-001,HPP-2026-001-02,22
